Model,PC,MSE,R2,Q2,MAE,Best Params
PLS,1,5.409303531737538,0.1667411144868893,-0.0056190205642951,2.151764645072361,{'n_components': 1}
PLS,2,5.281262105588677,0.1703317361703024,0.0181845786976071,2.114533267037109,{'n_components': 1}
PLS,3,5.084222817832803,0.1745849970505211,0.0548152566403737,2.068124699330764,{'n_components': 1}
PLS,4,5.087534144528839,0.1745674628424454,0.0541996629527025,2.0688748323408874,{'n_components': 1}
PLS,5,5.068280821698003,0.1746598961594976,0.0577789606449387,2.064805615915986,{'n_components': 1}
PLS,6,4.5630082015184295,0.1896780491970828,0.1517118957153663,1.95148932637817,{'n_components': 1}
PLS,7,4.294818421335699,0.2365153974337046,0.2015698381455412,1.8649941975287176,{'n_components': 1}
PLS,8,4.109431153520677,0.2458919295812255,0.2360343420491241,1.8195787601948432,{'n_components': 1}
PLS,9,2.964133148222291,0.272578503641886,0.4489514859263235,1.638665777024678,{'n_components': 1}
PLS,10,2.889935433158663,0.2886925128021055,0.4627452457167685,1.6196509812042308,{'n_components': 1}
PLS,11,2.7157354099330457,0.2975023461904247,0.495129979853171,1.5716485578543156,{'n_components': 1}
PLS,12,2.6212569714276945,0.3002630582806961,0.5126940367112776,1.5369342074010168,{'n_components': 1}
PLS,13,3.189143568523821,0.4388853537410327,0.4071208219318215,1.7115368881284652,{'n_components': 1}
PLS,14,3.374825469807226,0.4598104928847565,0.3726015440599889,1.760477030139359,{'n_components': 1}
PLS,15,3.365941134643221,0.4595370918007795,0.3742531904084647,1.7596208590483846,{'n_components': 1}
PLS,16,3.381304585888928,0.4695618061201926,0.3713970410532754,1.7503991621644823,{'n_components': 1}
PLS,17,3.491270226537129,0.4721564903661324,0.3509538288734538,1.781503409159244,{'n_components': 1}
PLS,18,3.5139631269996485,0.5923519005657265,0.34673509494532617,1.713632811853609,{'n_components': 1}
