Model,PC,MSE,R2,Q2,MAE,Best Params
XGBoost,1,6.872548740824931,0.997626226765245,-0.2776442832204671,1.926229463071368,"{'max_depth': 3, 'n_estimators': 100}"
XGBoost,2,5.514633444484886,0.9995609598936896,-0.0252004256512246,1.703747587873963,"{'max_depth': 3, 'n_estimators': 100}"
XGBoost,3,5.581407368788079,0.999999888512777,-0.0376140622613785,2.006076715285183,"{'max_depth': 6, 'n_estimators': 100}"
XGBoost,4,4.848452635474043,0.9999923031821968,0.0986462190684931,1.904320581468724,"{'max_depth': 3, 'n_estimators': 100}"
XGBoost,5,3.7522654243961737,0.9999933259920044,0.3024333985254288,1.7362802476449992,"{'max_depth': 3, 'n_estimators': 100}"
XGBoost,6,2.798535967173996,0.9999967348908008,0.4797369047953037,1.473295314821385,"{'max_depth': 3, 'n_estimators': 100}"
XGBoost,7,2.446438352511876,0.9999993955323364,0.5451937711593571,1.3406340009592066,"{'max_depth': 3, 'n_estimators': 100}"
XGBoost,8,3.399615130627723,0.999999846607272,0.36799301094881,1.688956430765442,"{'max_depth': 3, 'n_estimators': 200}"
XGBoost,9,3.4153523957421226,0.9999999180341864,0.3650673675572254,1.4676883581232836,"{'max_depth': 6, 'n_estimators': 100}"
XGBoost,10,1.7039437603480765,0.9999998646024022,0.6832275642651041,1.12168682098928,"{'max_depth': 3, 'n_estimators': 200}"
XGBoost,11,1.6332420754355432,0.999999865263331,0.696371392988494,1.0830027089124403,"{'max_depth': 3, 'n_estimators': 200}"
XGBoost,12,4.720261989136438,0.9999999360778148,0.1224775591771002,1.6196671640954852,"{'max_depth': 9, 'n_estimators': 100}"
XGBoost,13,2.287287128019192,0.9999999160375634,0.5747808515583253,1.3565370661215377,"{'max_depth': 3, 'n_estimators': 200}"
XGBoost,14,4.818121528275804,0.9999999355339876,0.10428493727581212,1.604908495932879,"{'max_depth': 6, 'n_estimators': 100}"
