Model,PC,MSE,R2,Q2,MAE,Best Params
PLS,1,5.409303531737538,0.1667411144868893,-0.0056190205642951,2.151764645072361,{'n_components': 1}
PLS,2,5.281262105588677,0.1703317361703024,0.0181845786976071,2.114533267037109,{'n_components': 1}
PLS,3,5.084222817832803,0.1745849970505211,0.0548152566403737,2.068124699330764,{'n_components': 1}
PLS,4,5.087534144528839,0.1745674628424454,0.0541996629527025,2.0688748323408874,{'n_components': 1}
PLS,5,5.068280821698003,0.1746598961594976,0.0577789606449387,2.064805615915986,{'n_components': 1}
PLS,6,4.5630082015184295,0.1896780491970828,0.1517118957153663,1.95148932637817,{'n_components': 1}
PLS,7,4.294818421335699,0.2365153974337046,0.2015698381455412,1.8649941975287176,{'n_components': 1}
PLS,8,4.109431153520677,0.2458919295812255,0.2360343420491241,1.8195787601948432,{'n_components': 1}
PLS,9,2.964133148222291,0.272578503641886,0.4489514859263235,1.638665777024678,{'n_components': 1}
PLS,10,2.889935433158663,0.2886925128021055,0.46274524571676856,1.6196509812042308,{'n_components': 1}
